No datetime | INFO | Start app codemaster version: 0.0.9
No datetime | INFO | App arguments: -d -n -m
No datetime | INFO | Set logger level to: Debug
No datetime | DEBUG | persistence_path='save_data\\save_data'
No datetime | INFO | Start game
No datetime | DEBUG | BAT_BLUE_00001 hit by T2_LASER2_0000001_from_player, health: 112.0, bullet_power: 7.0
No datetime | DEBUG | BAT_BLUE_00001 hit by T1_LASER1_0000002_from_player, health: 105.0, bullet_power: 5
No datetime | DEBUG | BAT_BLUE_00001 hit by T1_LASER1_0000003_from_player, health: 100.0, bullet_power: 5
No datetime | DEBUG | TEXT_MSG_PLAYER_00001 killed when TIMER_00001 ticked 0 secs.
No datetime | DEBUG | BAT_BLUE_00001 hit by T2_LASER2_0000002_from_player, health: 95.0, bullet_power: 7.0
No datetime | DEBUG | BAT_BLUE_00001 hit by T3_PHOTONIC_0000002_from_player, health: 88.0, bullet_power: 20
No datetime | DEBUG | BAT_BLUE_00001 hit by T2_LASER2_0000003_from_player, health: 68.0, bullet_power: 7.0
No datetime | DEBUG | BAT_BLUE_00001 hit by T1_LASER1_0000004_from_player, health: 61.0, bullet_power: 5
No datetime | DEBUG | BAT_BLUE_00001 hit by T2_LASER2_0000004_from_player, health: 56.0, bullet_power: 7.0
No datetime | DEBUG | BAT_BLUE_00001 hit by T2_LASER2_0000005_from_player, health: 49.0, bullet_power: 7.0
No datetime | DEBUG | BAT_BLUE_00001 hit by T3_PHOTONIC_0000003_from_player, health: 42.0, bullet_power: 20
No datetime | DEBUG | BAT_BLUE_00001 hit by T1_LASER1_0000005_from_player, health: 22.0, bullet_power: 5
No datetime | DEBUG | BAT_BLUE_00001 hit by T2_LASER2_0000007_from_player, health: 17.0, bullet_power: 7.0
No datetime | DEBUG | BAT_BLUE_00001 hit by T1_LASER1_0000006_from_player, health: 10.0, bullet_power: 5
No datetime | DEBUG | BAT_BLUE_00001 hit by T1_LASER1_0000007_from_player, health: 5.0, bullet_power: 5
No datetime | DEBUG | BAT_BLUE_00001, !!! Dead by bullet T1_LASER1_0000007_from_player !!!
No datetime | DEBUG | BAT_BLUE_00001, lucky_drop_dice: 91, probability_to_drop: 100, item type: BatBlack
No datetime | DEBUG | Create item to drop
No datetime | DEBUG | Add actor BAT_BLACK_00027 to level 1
No datetime | DEBUG | Dropped: BAT_BLACK_00027
No datetime | DEBUG | BAT_BLACK_00027 hit by T2_LASER2_0000010_from_player, health: 203.0, bullet_power: 7.0
No datetime | DEBUG | BAT_BLACK_00027 hit by T1_LASER1_0000008_from_player, health: 196.0, bullet_power: 5
No datetime | DEBUG | BAT_BLACK_00027 hit by T2_LASER2_0000011_from_player, health: 191.0, bullet_power: 7.0
No datetime | DEBUG | BAT_BLACK_00027 hit by T2_LASER2_0000012_from_player, health: 184.0, bullet_power: 7.0
No datetime | DEBUG | BAT_BLACK_00027 hit by T1_LASER1_0000010_from_player, health: 177.0, bullet_power: 5
No datetime | DEBUG | BAT_BLACK_00027 hit by T2_LASER2_0000013_from_player, health: 172.0, bullet_power: 7.0
No datetime | DEBUG | BAT_BLACK_00027 hit by T1_LASER1_0000011_from_player, health: 165.0, bullet_power: 5
No datetime | DEBUG | BAT_BLACK_00027 hit by T2_LASER2_0000014_from_player, health: 160.0, bullet_power: 7.0
No datetime | DEBUG | BAT_BLACK_00027 hit by T1_LASER1_0000013_from_player, health: 153.0, bullet_power: 5
No datetime | DEBUG | BAT_BLACK_00027 hit by T2_LASER2_0000015_from_player, health: 148.0, bullet_power: 7.0
No datetime | DEBUG | BAT_BLACK_00027 hit by T1_LASER1_0000014_from_player, health: 141.0, bullet_power: 5
No datetime | DEBUG | BAT_BLACK_00027 hit by T2_LASER2_0000017_from_player, health: 136.0, bullet_power: 7.0
No datetime | DEBUG | BAT_BLACK_00027 hit by T1_LASER1_0000015_from_player, health: 129.0, bullet_power: 5
No datetime | DEBUG | BAT_BLACK_00027 hit by T2_LASER2_0000018_from_player, health: 124.0, bullet_power: 7.0
No datetime | DEBUG | BAT_BLACK_00027 hit by T1_LASER1_0000016_from_player, health: 117.0, bullet_power: 5
No datetime | DEBUG | BAT_BLACK_00027 hit by T2_LASER2_0000020_from_player, health: 112.0, bullet_power: 7.0
No datetime | DEBUG | BAT_BLACK_00027 hit by T3_PHOTONIC_0000006_from_player, health: 105.0, bullet_power: 20
No datetime | DEBUG | BAT_BLACK_00027 hit by T4_NEUTRONIC_0000001_from_player, health: 85.0, bullet_power: 40
No datetime | DEBUG | BAT_BLACK_00027 hit by T3_PHOTONIC_0000007_from_player, health: 45.0, bullet_power: 20
No datetime | DEBUG | BAT_BLACK_00027 hit by T4_NEUTRONIC_0000002_from_player, health: 25.0, bullet_power: 40
No datetime | DEBUG | BAT_BLACK_00027, !!! Dead by bullet T4_NEUTRONIC_0000002_from_player !!!
No datetime | DEBUG | WOLFMAN_MALE_00002 hit by T1_LASER1_0000018_from_player, health: 210, bullet_power: 5
No datetime | INFO | Save current game
No datetime | DEBUG | Save current game PC
No datetime | DEBUG | Save current game items
No datetime | DEBUG | Save current game items: Not initial actors
No datetime | DEBUG | Save current game NPCs
No datetime | DEBUG | Save current game NPCs: Not initial actors
No datetime | INFO | Clean game data
No datetime | DEBUG | persistence_path='save_data\\save_data'
No datetime | INFO | Load last saved game
No datetime | DEBUG | Load last saved game items
No datetime | DEBUG | Load last saved game items: Not initial actors
No datetime | DEBUG | Load last saved game NPCs
No datetime | DEBUG | Load last saved game NPCs: Not initial actors
No datetime | DEBUG | Load last saved game PC
No datetime | INFO | Start game
No datetime | INFO | All batteries and disks from level 1 recovered.
No datetime | DEBUG | MINE_CYAN_00001 hit by T1_LASER1_0000001_from_player, health: 1, bullet_power: 5
No datetime | DEBUG | MINE_CYAN_00001, !!! Dead by bullet T1_LASER1_0000001_from_player !!!
No datetime | DEBUG | SKULL_YELLOW_00001 hit by EXPLOSION_B_00001, npc_health: 70, explosion_power: 170, owner: player
