No datetime | INFO | Start app codemaster version: 0.0.7
No datetime | INFO | App arguments: -m -n -d -t
No datetime | INFO | Super cheat mode activated!
No datetime | INFO | Load last saved game
No datetime | INFO | Start game
No datetime | INFO | Set player invulnerability state to: True (cheat)
No datetime | INFO | Set logger level to: Debug
No datetime | DEBUG | Copy actor disabled for this type of actor: COMPUTER_01
No datetime | DEBUG | Copy actor disabled for this type of actor: POKOYO_A
No datetime | DEBUG | Copy actor disabled for this type of actor: POKOYO_B
No datetime | DEBUG | Copy actor disabled for this type of actor: POKOYO_A
No datetime | DEBUG | Copy actor disabled for this type of actor: POKOYO_B
No datetime | DEBUG | Copy actor disabled for this type of actor: POKOYO_B
No datetime | DEBUG | MUTENTRINOS_BOLT_B_00015 killed when TIMER_00065 ticked 0 secs.
No datetime | DEBUG | MUTENTRINOS_BOLT_A_00008 killed when TIMER_00068 ticked 0 secs.
No datetime | DEBUG | MUTENTRINOS_BOLT_B_00016 killed when TIMER_00071 ticked 0 secs.
No datetime | DEBUG | [COPY] Mouse actors: BAT_BLUE_00016 in pos: (238, 306) - lev pos: (2890, 672)
No datetime | DEBUG | MUTENTRINOS_BOLT_A_00009 killed when TIMER_00076 ticked 0 secs.
No datetime | DEBUG | Add actor BAT_BLUE_00017 to level 11
No datetime | DEBUG | MUTENTRINOS_BOLT_A_00010 killed when TIMER_00078 ticked 0 secs.
No datetime | DEBUG | Add actor BAT_BLUE_00018 to level 11
No datetime | DEBUG | MUTENTRINOS_BOLT_A_00011 killed when TIMER_00081 ticked 0 secs.
No datetime | DEBUG | Add actor BAT_BLUE_00019 to level 11
No datetime | DEBUG | MUTENTRINOS_BOLT_B_00017 killed when TIMER_00084 ticked 0 secs.
No datetime | DEBUG | MUTENTRINOS_BOLT_B_00018 killed when TIMER_00087 ticked 0 secs.
No datetime | DEBUG | MUTENTRINOS_BOLT_A_00012 killed when TIMER_00090 ticked 0 secs.
No datetime | DEBUG | MUTENTRINOS_BOLT_A_00013 killed when TIMER_00093 ticked 0 secs.
No datetime | DEBUG | MUTENTRINOS_BOLT_B_00019 killed when TIMER_00097 ticked 0 secs.
No datetime | DEBUG | MUTENTRINOS_BOLT_A_00014 killed when TIMER_00099 ticked 0 secs.
No datetime | DEBUG | MUTENTRINOS_BOLT_B_00020 killed when TIMER_00102 ticked 0 secs.
No datetime | DEBUG | MUTENTRINOS_BOLT_B_00021 killed when TIMER_00106 ticked 0 secs.
No datetime | DEBUG | MUTENTRINOS_BOLT_A_00015 killed when TIMER_00109 ticked 0 secs.
No datetime | DEBUG | MUTENTRINOS_BOLT_B_00022 killed when TIMER_00111 ticked 0 secs.
No datetime | DEBUG | MUTENTRINOS_BOLT_B_00023 killed when TIMER_00114 ticked 0 secs.
No datetime | DEBUG | MUTENTRINOS_BOLT_B_00024 killed when TIMER_00118 ticked 0 secs.
No datetime | DEBUG | MUTENTRINOS_BOLT_B_00025 killed when TIMER_00120 ticked 0 secs.
No datetime | DEBUG | MUTENTRINOS_BOLT_A_00016 killed when TIMER_00124 ticked 0 secs.
No datetime | DEBUG | MUTENTRINOS_BOLT_B_00026 killed when TIMER_00126 ticked 0 secs.
No datetime | DEBUG | MUTENTRINOS_BOLT_B_00027 killed when TIMER_00129 ticked 0 secs.
No datetime | DEBUG | MUTENTRINOS_BOLT_A_00017 killed when TIMER_00133 ticked 0 secs.
No datetime | DEBUG | MUTENTRINOS_BOLT_B_00028 killed when TIMER_00136 ticked 0 secs.
No datetime | DEBUG | MUTENTRINOS_BOLT_B_00029 killed when TIMER_00138 ticked 0 secs.
No datetime | DEBUG | MUTENTRINOS_BOLT_A_00018 killed when TIMER_00141 ticked 0 secs.
No datetime | DEBUG | MUTENTRINOS_BOLT_B_00030 killed when TIMER_00145 ticked 0 secs.
No datetime | DEBUG | Mouse sprites: BAT_BLUE_00016 in pos: (276, 306) - lev pos: (2592, 672)
No datetime | DEBUG | MUTENTRINOS_BOLT_A_00019 killed when TIMER_00147 ticked 0 secs.
No datetime | DEBUG | MUTENTRINOS_BOLT_B_00031 killed when TIMER_00150 ticked 0 secs.
No datetime | DEBUG | BAT_BLUE_00016 hit by DOOM_BOLT_A_00001, health: 112.0, doom_bolt_partial_power: 25.20, magic_res: 0.00, owner: player
No datetime | DEBUG | BAT_BLUE_00016 hit by DOOM_BOLT_A_00001, health: 86.8, doom_bolt_partial_power: 31.50, magic_res: 0.00, owner: player
No datetime | DEBUG | MUTENTRINOS_BOLT_A_00020 killed when TIMER_00153 ticked 0 secs.
No datetime | DEBUG | DOOM_BOLT_A_00001 killed when TIMER_00158 ticked 6 secs.
No datetime | DEBUG | BAT_BLUE_00016 hit by DOOM_BOLT_A_00001, health: 55.3, doom_bolt_partial_power: 126.00, magic_res: 0.00, owner: player
No datetime | DEBUG | BAT_BLUE_00016, !!! Dead by DOOM_BOLT_A_00001, owner: player !!!
No datetime | DEBUG | BAT_BLACK_00026 hit by EXPLOSION_MAGIC_C4_00001, npc_health: 203.0, explosion_power: 210, magic_res: 0, owner: player
No datetime | DEBUG | BAT_BLACK_00026, !!! Dead by EXPLOSION_MAGIC_C4_00001. Owner: PLAYER !!!
No datetime | DEBUG | MUTENTRINOS_BOLT_A_00021 killed when TIMER_00156 ticked 0 secs.
No datetime | DEBUG | MUTENTRINOS_BOLT_B_00032 killed when TIMER_00161 ticked 0 secs.
No datetime | DEBUG | MUTENTRINOS_BOLT_A_00022 killed when TIMER_00164 ticked 0 secs.
No datetime | INFO | Replenish stats to superhero maximum (cheat).
No datetime | DEBUG | MUTENTRINOS_BOLT_B_00033 killed when TIMER_00169 ticked 0 secs.
No datetime | DEBUG | Mouse sprites: EWLAN_MALE_00002 in pos: (894, 318) - lev pos: (2882, 378)
No datetime | DEBUG | Mouse sprites: ENERGY_SHIELD_A_00007 in pos: (915, 310) - lev pos: (2903, 370)
No datetime | DEBUG | EWLAN_MALE_00002 hit by EXPLOSION_MAGIC_C2_00001, npc_health: 315, explosion_power: 160, magic_res: 110, owner: player
No datetime | DEBUG | EWLAN_MALE_00002 hit by EXPLOSION_MAGIC_C2_00002, npc_health: 265, explosion_power: 160, magic_res: 110, owner: player
No datetime | DEBUG | TEXT_MSG_PLAYER_00003 killed when TIMER_00175 ticked 0 secs.
No datetime | DEBUG | MUTENTRINOS_BOLT_B_00034 killed when TIMER_00171 ticked 0 secs.
No datetime | DEBUG | Mouse sprites: EWLAN_MALE_00002 in pos: (900, 318) - lev pos: (2888, 378)
No datetime | DEBUG | EWLAN_MALE_00002 hit by EXPLOSION_MAGIC_C2_00003, npc_health: 215, explosion_power: 160, magic_res: 110, owner: player
No datetime | DEBUG | EWLAN_MALE_00002 hit by EXPLOSION_MAGIC_C2_00004, npc_health: 165, explosion_power: 160, magic_res: 110, owner: player
No datetime | DEBUG | Mouse sprites: EWLAN_MALE_00002 in pos: (724, 318) - lev pos: (2712, 378)
No datetime | DEBUG | Mouse sprites: ENERGY_SHIELD_A_00007 in pos: (690, 310) - lev pos: (2678, 370)
No datetime | DEBUG | EWLAN_MALE_00002 hit by EXPLOSION_MAGIC_C2_00005, npc_health: 115, explosion_power: 160, magic_res: 110, owner: player
No datetime | DEBUG | EWLAN_MALE_00002 hit by EXPLOSION_MAGIC_C2_00006, npc_health: 65, explosion_power: 160, magic_res: 110, owner: player
No datetime | DEBUG | MUTENTRINOS_BOLT_B_00035 killed when TIMER_00177 ticked 0 secs.
No datetime | DEBUG | Mouse sprites: EWLAN_MALE_00002 in pos: (748, 318) - lev pos: (2736, 378)
No datetime | DEBUG | MUTENTRINOS_BOLT_B_00036 killed when TIMER_00180 ticked 0 secs.
No datetime | DEBUG | Mouse sprites: EWLAN_MALE_00002 in pos: (816, 318) - lev pos: (2804, 378)
No datetime | DEBUG | TEXT_MSG_PLAYER_00004 killed when TIMER_00184 ticked 0 secs.
No datetime | DEBUG | EWLAN_MALE_00002 hit by VORTEX_OF_DOOM_B_00001, health: 15, vortex_partial_power: 29.00, magic_res: 22.00, owner: player
No datetime | DEBUG | MUTENTRINOS_BOLT_B_00037 killed when TIMER_00183 ticked 0 secs.
No datetime | DEBUG | EWLAN_MALE_00002 hit by VORTEX_OF_DOOM_B_00001, health: 8.0, vortex_partial_power: 36.25, magic_res: 27.50, owner: player
No datetime | DEBUG | VORTEX_OF_DOOM_B_00001 killed when TIMER_00189 ticked 6 secs.
No datetime | DEBUG | EWLAN_MALE_00002 hit by VORTEX_OF_DOOM_B_00001, health: -0.75, vortex_partial_power: 145.00, magic_res: 110.00, owner: player
No datetime | DEBUG | EWLAN_MALE_00002, !!! Dead by VORTEX_OF_DOOM_B_00001, owner: player !!!
No datetime | DEBUG | MUTENTRINOS_BOLT_B_00038 killed when TIMER_00187 ticked 0 secs.
No datetime | DEBUG | MUTENTRINOS_BOLT_A_00023 killed when TIMER_00191 ticked 0 secs.
No datetime | INFO | All batteries and disks from level 11 recovered.
No datetime | DEBUG | Mouse sprites: KUNG_FU_FIGHTER_MALE_00003 in pos: (164, 317) - lev pos: (1260, 357)
No datetime | DEBUG | KUNG_FU_FIGHTER_MALE_00003 hit by VORTEX_OF_DOOM_B_00002, health: 350, vortex_partial_power: 29.00, magic_res: 8.40, owner: player
No datetime | DEBUG | MUTENTRINOS_BOLT_B_00039 killed when TIMER_00196 ticked 0 secs.
No datetime | DEBUG | KUNG_FU_FIGHTER_MALE_00003 hit by VORTEX_OF_DOOM_B_00002, health: 329.4, vortex_partial_power: 36.25, magic_res: 10.50, owner: player
No datetime | DEBUG | VORTEX_OF_DOOM_B_00002 killed when TIMER_00201 ticked 6 secs.
No datetime | DEBUG | KUNG_FU_FIGHTER_MALE_00003 hit by VORTEX_OF_DOOM_B_00002, health: 303.65, vortex_partial_power: 145.00, magic_res: 42.00, owner: player
No datetime | DEBUG | MUTENTRINOS_BOLT_B_00040 killed when TIMER_00198 ticked 0 secs.
No datetime | DEBUG | MUTENTRINOS_BOLT_A_00024 killed when TIMER_00204 ticked 0 secs.
No datetime | DEBUG | Mouse sprites: KUNG_FU_FIGHTER_MALE_00003 in pos: (250, 395) - lev pos: (1348, 357)
No datetime | DEBUG | TEXT_MSG_PLAYER_00005 killed when TIMER_00214 ticked 0 secs.
No datetime | DEBUG | MUTENTRINOS_BOLT_A_00025 killed when TIMER_00207 ticked 0 secs.
No datetime | DEBUG | KUNG_FU_FIGHTER_MALE_00003 hit by VORTEX_OF_DOOM_A_00001, health: 200.65, vortex_partial_power: 38.00, magic_res: 8.40, owner: player
No datetime | DEBUG | MUTENTRINOS_BOLT_B_00041 killed when TIMER_00210 ticked 0 secs.
No datetime | DEBUG | KUNG_FU_FIGHTER_MALE_00003 hit by VORTEX_OF_DOOM_A_00001, health: 171.05, vortex_partial_power: 47.50, magic_res: 10.50, owner: player
No datetime | DEBUG | VORTEX_OF_DOOM_A_00001 killed when TIMER_00217 ticked 6 secs.
No datetime | DEBUG | KUNG_FU_FIGHTER_MALE_00003 hit by VORTEX_OF_DOOM_A_00001, health: 134.05, vortex_partial_power: 190.00, magic_res: 42.00, owner: player
No datetime | DEBUG | KUNG_FU_FIGHTER_MALE_00003, !!! Dead by VORTEX_OF_DOOM_A_00001, owner: player !!!
No datetime | DEBUG | KUNG_FU_FIGHTER_MALE_00003, lucky_drop_dice: 67, probability_to_drop: 100, item type: PotionHealth
No datetime | DEBUG | Create item to drop
No datetime | DEBUG | Add actor POTION_HEALTH_00012 to level 10
No datetime | DEBUG | Dropped: POTION_HEALTH_00012
No datetime | DEBUG | KUNG_FU_FIGHTER_MALE_00003, lucky_drop_dice: 94, probability_to_drop: 100, item type: PotionPower
No datetime | DEBUG | Create item to drop
No datetime | DEBUG | Add actor POTION_POWER_00024 to level 10
No datetime | DEBUG | Dropped: POTION_POWER_00024
No datetime | DEBUG | MUTENTRINOS_BOLT_B_00042 killed when TIMER_00213 ticked 0 secs.
No datetime | INFO | Set player invulnerability state to: False (cheat)
No datetime | DEBUG | MUTENTRINOS_BOLT_B_00043 killed when TIMER_00221 ticked 0 secs.
No datetime | DEBUG | player hit by T1_LASER1_0000001_from_ROBOT_A_00005, pc_health: 100, bullet_power: 5
No datetime | DEBUG | player hit by T3_PHOTONIC_0000001_from_ROBOT_A_00005, pc_health: 95, bullet_power: 20
No datetime | DEBUG | player hit by T1_LASER1_0000001_from_ROBOT_A_00004, pc_health: 75, bullet_power: 5
No datetime | DEBUG | player hit by T2_LASER2_0000001_from_ROBOT_A_00004, pc_health: 70, bullet_power: 7.0
No datetime | DEBUG | player hit by T2_LASER2_0000001_from_TERMINATOR_EYE_YELLOW_00003, pc_health: 100, bullet_power: 7.0
No datetime | DEBUG | TERMINATOR_EYE_YELLOW_00003 hit by T4_NEUTRONIC_0000002_from_player, health: 420, bullet_power: 40
No datetime | DEBUG | TERMINATOR_EYE_YELLOW_00003 hit by T3_PHOTONIC_0000004_from_player, health: 380, bullet_power: 20
No datetime | DEBUG | TERMINATOR_EYE_YELLOW_00003 hit by T4_NEUTRONIC_0000004_from_player, health: 360, bullet_power: 40
No datetime | DEBUG | player hit by T3_PHOTONIC_0000007_from_TERMINATOR_EYE_YELLOW_00003, pc_health: 100, bullet_power: 20
No datetime | INFO | Replenish stats to superhero maximum (cheat).
No datetime | DEBUG | player hit by T2_LASER2_0000003_from_TERMINATOR_EYE_YELLOW_00003, pc_health: 100, bullet_power: 7.0
No datetime | DEBUG | TERMINATOR_EYE_YELLOW_00003 hit by T4_NEUTRONIC_0000008_from_player, health: 320, bullet_power: 40
No datetime | DEBUG | TERMINATOR_EYE_YELLOW_00003 hit by T3_PHOTONIC_0000005_from_player, health: 280, bullet_power: 20
No datetime | DEBUG | TERMINATOR_EYE_YELLOW_00003 hit by T4_NEUTRONIC_0000009_from_player, health: 260, bullet_power: 40
No datetime | DEBUG | TERMINATOR_EYE_YELLOW_00003 hit by T4_NEUTRONIC_0000012_from_player, health: 220, bullet_power: 40
No datetime | DEBUG | TERMINATOR_EYE_YELLOW_00003 hit by T3_PHOTONIC_0000010_from_player, health: 180, bullet_power: 20
No datetime | DEBUG | TERMINATOR_EYE_YELLOW_00003 hit by T3_PHOTONIC_0000013_from_player, health: 160, bullet_power: 20
No datetime | INFO | Replenish stats to superhero maximum (cheat).
No datetime | DEBUG | TERMINATOR_EYE_YELLOW_00003 hit by T4_NEUTRONIC_0000013_from_player, health: 140, bullet_power: 40
No datetime | DEBUG | TERMINATOR_EYE_YELLOW_00003 hit by T3_PHOTONIC_0000014_from_player, health: 100, bullet_power: 20
No datetime | DEBUG | TERMINATOR_EYE_YELLOW_00003 hit by T4_NEUTRONIC_0000015_from_player, health: 80, bullet_power: 40
No datetime | DEBUG | player hit by T2_LASER2_0000006_from_TERMINATOR_EYE_YELLOW_00003, pc_health: 100, bullet_power: 7.0
No datetime | DEBUG | TERMINATOR_EYE_YELLOW_00003 hit by T4_NEUTRONIC_0000016_from_player, health: 40, bullet_power: 40
No datetime | DEBUG | TERMINATOR_EYE_YELLOW_00003, !!! Dead by bullet T4_NEUTRONIC_0000016_from_player !!!
No datetime | DEBUG | TEXT_MSG_PLAYER_00006 killed when TIMER_00223 ticked 0 secs.
No datetime | DEBUG | TEXT_MSG_PLAYER_00007 killed when TIMER_00224 ticked 0 secs.
No datetime | INFO | Set player invulnerability state to: True (cheat)
No datetime | INFO | Replenish stats to superhero maximum (cheat).
No datetime | DEBUG | ROBOT_B_00001 hit by T3_PHOTONIC_0000021_from_player, health: 210, bullet_power: 20
No datetime | DEBUG | ROBOT_B_00001 hit by T4_NEUTRONIC_0000019_from_player, health: 190, bullet_power: 40
No datetime | DEBUG | ROBOT_B_00001 hit by T3_PHOTONIC_0000022_from_player, health: 150, bullet_power: 20
No datetime | DEBUG | ROBOT_B_00001 hit by T4_NEUTRONIC_0000020_from_player, health: 130, bullet_power: 40
No datetime | DEBUG | ROBOT_B_00001 hit by T4_NEUTRONIC_0000021_from_player, health: 90, bullet_power: 40
No datetime | DEBUG | ROBOT_B_00001 hit by T3_PHOTONIC_0000023_from_player, health: 50, bullet_power: 20
No datetime | DEBUG | ROBOT_B_00001 hit by T4_NEUTRONIC_0000022_from_player, health: 30, bullet_power: 40
No datetime | DEBUG | ROBOT_B_00001, !!! Dead by bullet T4_NEUTRONIC_0000022_from_player !!!
No datetime | DEBUG | ROBOT_B_00001, lucky_drop_dice: 91, probability_to_drop: 100, item type: CartridgeGreen
No datetime | DEBUG | Create item to drop
No datetime | DEBUG | Add actor CARTRIDGE_GREEN_00009 to level 8
No datetime | DEBUG | Dropped: CARTRIDGE_GREEN_00009
No datetime | DEBUG | ROBOT_A_00003 hit by T3_PHOTONIC_0000029_from_player, health: 175, bullet_power: 20
No datetime | DEBUG | TEXT_MSG_PLAYER_00008 killed when TIMER_00225 ticked 0 secs.
No datetime | INFO | Replenish stats to superhero maximum (cheat).
No datetime | DEBUG | ROBOT_A_00003 hit by T3_PHOTONIC_0000030_from_player, health: 155, bullet_power: 20
No datetime | DEBUG | ROBOT_A_00003 hit by T4_NEUTRONIC_0000026_from_player, health: 135, bullet_power: 40
No datetime | DEBUG | ROBOT_A_00003 hit by T3_PHOTONIC_0000031_from_player, health: 95, bullet_power: 20
No datetime | DEBUG | ROBOT_A_00003 hit by T4_NEUTRONIC_0000027_from_player, health: 75, bullet_power: 40
No datetime | DEBUG | ROBOT_A_00003 hit by T3_PHOTONIC_0000032_from_player, health: 35, bullet_power: 20
No datetime | DEBUG | ROBOT_A_00003 hit by T4_NEUTRONIC_0000028_from_player, health: 15, bullet_power: 40
No datetime | DEBUG | ROBOT_A_00003, !!! Dead by bullet T4_NEUTRONIC_0000028_from_player !!!
No datetime | DEBUG | ROBOT_A_00003, lucky_drop_dice: 88, probability_to_drop: 100, item type: PotionPower
No datetime | DEBUG | Create item to drop
No datetime | DEBUG | Add actor POTION_POWER_00025 to level 8
No datetime | DEBUG | Dropped: POTION_POWER_00025
No datetime | DEBUG | ROBOT_A_00003, lucky_drop_dice: 31, probability_to_drop: 100, item type: CartridgeBlue
No datetime | DEBUG | Create item to drop
No datetime | DEBUG | Add actor CARTRIDGE_BLUE_00014 to level 8
No datetime | DEBUG | Dropped: CARTRIDGE_BLUE_00014
No datetime | INFO | Save current game
No datetime | DEBUG | Save current game PC
No datetime | DEBUG | Save current game items
No datetime | DEBUG | Save current game items: Not initial actors
No datetime | DEBUG | Save current game NPCs
No datetime | DEBUG | Save current game NPCs: Not initial actors
No datetime | INFO | Clean game data
No datetime | INFO | Super cheat mode activated!
No datetime | INFO | Load last saved game
No datetime | DEBUG | Load last saved game items
No datetime | DEBUG | Load last saved game items: Not initial actors
No datetime | DEBUG | Add actor POTION_POWER_00018 to level 8
No datetime | DEBUG | Add actor CARTRIDGE_BLUE_00014 to level 8
No datetime | DEBUG | Add actor APPLE_YELLOW_00013 to level 8
No datetime | DEBUG | Add actor APPLE_YELLOW_00014 to level 8
No datetime | DEBUG | Add actor APPLE_RED_00008 to level 8
No datetime | DEBUG | Add actor APPLE_YELLOW_00015 to level 8
No datetime | DEBUG | Add actor APPLE_GREEN_00010 to level 8
No datetime | DEBUG | Add actor APPLE_RED_00009 to level 8
No datetime | DEBUG | Add actor POTION_POWER_00019 to level 8
No datetime | DEBUG | Add actor POTION_POWER_00020 to level 8
No datetime | DEBUG | Add actor POTION_POWER_00021 to level 8
No datetime | DEBUG | Add actor POTION_HEALTH_00008 to level 8
No datetime | DEBUG | Add actor POTION_HEALTH_00009 to level 8
No datetime | DEBUG | Add actor POTION_HEALTH_00010 to level 8
No datetime | DEBUG | Add actor POTION_HEALTH_00011 to level 8
No datetime | DEBUG | Add actor POTION_HEALTH_00012 to level 8
No datetime | DEBUG | Load last saved game NPCs
